dataset,table,column,type,description
dt_dv360_1072057,Activity_1072057,DV360_Media_Cost_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Cost_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Revenue_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Revenue_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Revenue_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Total_Media_Cost_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Total_Media_Cost_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Total_Media_Cost_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_1_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_1_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_1_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_2_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_2_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_2_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_3_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_3_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_3_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_4_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_4_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_4_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_5_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_5_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_CPM_Fee_5_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_1_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_1_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_1_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_2_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_2_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_2_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_3_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_3_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_3_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_4_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_4_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_4_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_5_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_5_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Media_Fee_5_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Data_Fees_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Data_Fees_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Data_Fees_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Billable_Cost_USD,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Billable_Cost_Partner_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,DV360_Billable_Cost_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Activity_1072057,_LATEST_DATE,DATE,
dt_dv360_1072057,Activity_1072057,_DATA_DATE,DATE,
dt_dv360_1072057,AdGroupAd_1072057,name,STRING,
dt_dv360_1072057,AdGroupAd_1072057,advertiserId,INTEGER,
dt_dv360_1072057,AdGroupAd_1072057,adGroupAdId,INTEGER,
dt_dv360_1072057,AdGroupAd_1072057,adGroupId,INTEGER,
dt_dv360_1072057,AdGroupAd_1072057,displayName,STRING,
dt_dv360_1072057,AdGroupAd_1072057,fetchTime,STRING,
dt_dv360_1072057,AdGroupAd_1072057,entityStatus,STRING,
dt_dv360_1072057,AdGroupAd_1072057,policyApprovalStatus,STRING,
dt_dv360_1072057,AdGroupAd_1072057,displayVideoSourceAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,mastheadAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,inStreamAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,nonSkippableAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,bumperAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,audioAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,videoDiscoverAd,RECORD,
dt_dv360_1072057,AdGroupAd_1072057,videoPerformanceAd,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,advertiserId,INTEGER,
dt_dv360_1072057,AdGroupTargeting_1072057,adGroupId,INTEGER,
dt_dv360_1072057,AdGroupTargeting_1072057,fetchTime,TIMESTAMP,
dt_dv360_1072057,AdGroupTargeting_1072057,name,STRING,
dt_dv360_1072057,AdGroupTargeting_1072057,assignedTargetingOptionId,STRING,
dt_dv360_1072057,AdGroupTargeting_1072057,targetingType,STRING,
dt_dv360_1072057,AdGroupTargeting_1072057,inheritance,STRING,
dt_dv360_1072057,AdGroupTargeting_1072057,channelDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,appCategoryDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,appDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,urlDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,dayAndTimeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,ageRangeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,regionalLocationListDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,proximityLocationListDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,genderDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,videoPlayerSizeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,userRewardedContentDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,parentalStatusDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,contentInstreamPositionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,contentOutstreamPositionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,deviceTypeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,audienceGroupDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,browserDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,householdIncomeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,onScreenPositionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,carrierAndIspDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,keywordDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,negativeKeywordListDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,operatingSystemDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,deviceMakeModelDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,environmentDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,inventorySourceDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,categoryDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,viewabilityDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,authorizedSellerStatusDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,languageDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,geoRegionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,inventorySourceGroupDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,digitalContentLabelExclusionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,sensitiveCategoryExclusionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,exchangeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,subExchangeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,thirdPartyVerifierDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,poiDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,businessChainDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,contentDurationDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,contentStreamTypeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,nativeContentPositionDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,omidDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,audioContentTypeDetails,RECORD,
dt_dv360_1072057,AdGroupTargeting_1072057,contentGenreDetails,RECORD,
dt_dv360_1072057,AdGroup_1072057,name,STRING,
dt_dv360_1072057,AdGroup_1072057,advertiserId,INTEGER,
dt_dv360_1072057,AdGroup_1072057,adGroupId,INTEGER,
dt_dv360_1072057,AdGroup_1072057,lineItemId,INTEGER,
dt_dv360_1072057,AdGroup_1072057,displayName,STRING,
dt_dv360_1072057,AdGroup_1072057,fetchTime,TIMESTAMP,
dt_dv360_1072057,AdGroup_1072057,adGroupFormat,STRING,
dt_dv360_1072057,AdGroup_1072057,bidStrategy,RECORD,
dt_dv360_1072057,AdGroup_1072057,entityStatus,STRING,
dt_dv360_1072057,AdGroup_1072057,targetingExpansion,RECORD,
dt_dv360_1072057,AdGroup_1072057,productFeedData,RECORD,
dt_dv360_1072057,Advertiser_1072057,name,STRING,
dt_dv360_1072057,Advertiser_1072057,advertiserId,INTEGER,
dt_dv360_1072057,Advertiser_1072057,partnerId,INTEGER,
dt_dv360_1072057,Advertiser_1072057,displayName,STRING,
dt_dv360_1072057,Advertiser_1072057,entityStatus,STRING,
dt_dv360_1072057,Advertiser_1072057,updateTime,TIMESTAMP,
dt_dv360_1072057,Advertiser_1072057,generalConfig,RECORD,
dt_dv360_1072057,Advertiser_1072057,adServerConfig,RECORD,
dt_dv360_1072057,Advertiser_1072057,creativeConfig,RECORD,
dt_dv360_1072057,Advertiser_1072057,dataAccessConfig,RECORD,
dt_dv360_1072057,Advertiser_1072057,integrationDetails,RECORD,
dt_dv360_1072057,Advertiser_1072057,servingConfig,RECORD,
dt_dv360_1072057,Advertiser_1072057,prismaEnabled,BOOLEAN,
dt_dv360_1072057,Advertiser_1072057,billingConfig,RECORD,
dt_dv360_1072057,Advertiser_1072057,_LATEST_DATE,DATE,
dt_dv360_1072057,Advertiser_1072057,_DATA_DATE,DATE,
dt_dv360_1072057,CampaignTargeting_1072057,advertiserId,INTEGER,
dt_dv360_1072057,CampaignTargeting_1072057,campaignId,INTEGER,
dt_dv360_1072057,CampaignTargeting_1072057,updateTime,TIMESTAMP,
dt_dv360_1072057,CampaignTargeting_1072057,fetchTime,TIMESTAMP,
dt_dv360_1072057,CampaignTargeting_1072057,name,STRING,
dt_dv360_1072057,CampaignTargeting_1072057,assignedTargetingOptionId,STRING,
dt_dv360_1072057,CampaignTargeting_1072057,targetingType,STRING,
dt_dv360_1072057,CampaignTargeting_1072057,inheritance,STRING,
dt_dv360_1072057,CampaignTargeting_1072057,channelDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,appCategoryDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,appDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,urlDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,dayAndTimeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,ageRangeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,regionalLocationListDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,proximityLocationListDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,genderDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,videoPlayerSizeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,userRewardedContentDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,parentalStatusDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,contentInstreamPositionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,contentOutstreamPositionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,deviceTypeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,audienceGroupDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,browserDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,householdIncomeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,onScreenPositionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,carrierAndIspDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,keywordDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,negativeKeywordListDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,operatingSystemDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,deviceMakeModelDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,environmentDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,inventorySourceDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,categoryDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,viewabilityDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,authorizedSellerStatusDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,languageDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,geoRegionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,inventorySourceGroupDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,digitalContentLabelExclusionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,sensitiveCategoryExclusionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,exchangeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,subExchangeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,thirdPartyVerifierDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,poiDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,businessChainDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,contentDurationDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,contentStreamTypeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,nativeContentPositionDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,omidDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,audioContentTypeDetails,RECORD,
dt_dv360_1072057,CampaignTargeting_1072057,contentGenreDetails,RECORD,
dt_dv360_1072057,Campaign_1072057,name,STRING,
dt_dv360_1072057,Campaign_1072057,advertiserId,INTEGER,
dt_dv360_1072057,Campaign_1072057,campaignId,INTEGER,
dt_dv360_1072057,Campaign_1072057,displayName,STRING,
dt_dv360_1072057,Campaign_1072057,entityStatus,STRING,
dt_dv360_1072057,Campaign_1072057,updateTime,TIMESTAMP,
dt_dv360_1072057,Campaign_1072057,fetchTime,TIMESTAMP,
dt_dv360_1072057,Campaign_1072057,campaignGoal,RECORD,
dt_dv360_1072057,Campaign_1072057,campaignFlight,RECORD,
dt_dv360_1072057,Campaign_1072057,frequencyCap,RECORD,
dt_dv360_1072057,Campaign_1072057,campaignBudgets,RECORD,
dt_dv360_1072057,Click_1072057,Event_Type,STRING,
dt_dv360_1072057,Click_1072057,Event_Sub_Type,STRING,
dt_dv360_1072057,Click_1072057,DV360_Auction_ID,STRING,
dt_dv360_1072057,Click_1072057,Event_Time,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Request_Time,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Advertiser_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Insertion_Order_ID,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Line_Item_ID,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Creative_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Bid_Price_USD,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Bid_Price_Partner_Currency,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Bid_Price_Advertiser_Currency,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_URL,STRING,
dt_dv360_1072057,Click_1072057,DV360_Site_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Language,STRING,
dt_dv360_1072057,Click_1072057,DV360_Adx_Page_Categories,STRING,
dt_dv360_1072057,Click_1072057,DV360_Matching_Targeted_Keywords,STRING,
dt_dv360_1072057,Click_1072057,DV360_Exchange_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Attributed_Inventory_Source_External_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Attributed_Inventory_Source_Is_Public,BOOLEAN,
dt_dv360_1072057,Click_1072057,DV360_Ad_Position,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Country_Code,STRING,
dt_dv360_1072057,Click_1072057,DV360_Designated_Market_Area_DMA_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_ZIP_Postal_Code,STRING,
dt_dv360_1072057,Click_1072057,DV360_State_Region_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_City_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Operating_System_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Browser_Platform_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Browser_Timezone_Offset_Minutes,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Net_Speed,INTEGER,
dt_dv360_1072057,Click_1072057,User_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Matching_Targeted_Segments,STRING,
dt_dv360_1072057,Click_1072057,DV360_ISP_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Device_Type,INTEGER,
dt_dv360_1072057,Click_1072057,DV360_Mobile_Make_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Mobile_Model_ID,STRING,
dt_dv360_1072057,Click_1072057,DV360_Media_Cost_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Cost_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Cost_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Revenue_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Revenue_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Revenue_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Total_Media_Cost_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Total_Media_Cost_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Total_Media_Cost_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_1_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_1_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_1_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_2_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_2_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_2_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_3_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_3_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_3_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_4_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_4_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_4_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_5_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_5_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_CPM_Fee_5_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_1_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_1_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_1_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_2_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_2_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_2_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_3_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_3_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_3_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_4_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_4_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_4_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_5_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_5_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Media_Fee_5_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Data_Fees_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Data_Fees_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Data_Fees_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Billable_Cost_USD,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Billable_Cost_Partner_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,DV360_Billable_Cost_Advertiser_Currency,FLOAT,
dt_dv360_1072057,Click_1072057,_LATEST_DATE,DATE,
dt_dv360_1072057,Click_1072057,_DATA_DATE,DATE,
dt_dv360_1072057,Creative_1072057,name,STRING,
dt_dv360_1072057,Creative_1072057,advertiserId,INTEGER,
dt_dv360_1072057,Creative_1072057,creativeId,INTEGER,
dt_dv360_1072057,Creative_1072057,cmPlacementId,INTEGER,
dt_dv360_1072057,Creative_1072057,displayName,STRING,
dt_dv360_1072057,Creative_1072057,entityStatus,STRING,
dt_dv360_1072057,Creative_1072057,updateTime,TIMESTAMP,
dt_dv360_1072057,Creative_1072057,createTime,TIMESTAMP,
dt_dv360_1072057,Creative_1072057,fetchTime,TIMESTAMP,
dt_dv360_1072057,Creative_1072057,creativeType,STRING,
dt_dv360_1072057,Creative_1072057,hostingSource,STRING,
dt_dv360_1072057,Creative_1072057,dynamic,BOOLEAN,
dt_dv360_1072057,Creative_1072057,dimensions,RECORD,
dt_dv360_1072057,Creative_1072057,additionalDimensions,RECORD,
dt_dv360_1072057,Creative_1072057,mediaDuration,STRING,
dt_dv360_1072057,Creative_1072057,creativeAttributes,STRING,
dt_dv360_1072057,Creative_1072057,reviewStatus,RECORD,
dt_dv360_1072057,Creative_1072057,assets,RECORD,
dt_dv360_1072057,Creative_1072057,exitEvents,RECORD,
dt_dv360_1072057,Creative_1072057,timerEvents,RECORD,
dt_dv360_1072057,Creative_1072057,counterEvents,RECORD,
dt_dv360_1072057,Creative_1072057,appendedTag,STRING,
dt_dv360_1072057,Creative_1072057,integrationCode,STRING,
dt_dv360_1072057,Creative_1072057,notes,STRING,
dt_dv360_1072057,Creative_1072057,iasCampaignMonitoring,BOOLEAN,
dt_dv360_1072057,Creative_1072057,companionCreativeIds,INTEGER,
dt_dv360_1072057,Creative_1072057,skippable,BOOLEAN,
dt_dv360_1072057,Creative_1072057,skipOffset,RECORD,
dt_dv360_1072057,Creative_1072057,progressOffset,RECORD,
dt_dv360_1072057,Creative_1072057,universalAdId,RECORD,
dt_dv360_1072057,Creative_1072057,thirdPartyUrls,RECORD,
dt_dv360_1072057,Creative_1072057,transcodes,RECORD,
